couponId,couponname,couponsecuritycode,couponamount,couponcurrency,couponpercent,couponstartdate,couponenddate,couponlimit,couponcategories,couponproducts,couponusedcount,couponlastuseddate,couponcomment,couponother
104828,0010078BE7,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104827,0010077IU1,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104826,0010076YGY,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104825,0010074J2M,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104824,00100738OJ,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104823,0010066P3J,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104822,00100600OB,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104821,0010059R1K,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104820,0010057X95,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104819,00100511IB,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104818,0010035MHY,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104817,0010028E4O,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104816,00100087UI,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104815,0010007JHS,,128,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104814,0020250B7A,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104813,00202491PG,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104812,0020243RF3,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104811,0020240TRA,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104810,0020232HCX,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104809,0020230V0Y,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104808,0020225X6W,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104807,0020224SUW,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104806,0020222MNJ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104805,0020221OAL,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104804,0020217PT1,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104803,0020212BER,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104802,0020210SYF,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104801,0020182Y9S,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104800,0020177F1Q,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104799,0020176974,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104798,00201709PC,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104797,0020169A3A,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104796,0020162AHZ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104795,0020157SE2,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104794,0020154PA0,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104793,0020151BDJ,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104792,0020142R56,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104791,0020135VIL,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104790,0020133HT9,,98,SGD,0,6/15/2014,1/15/2015,1,,,0,,Actual exp is 15 Dec 2014,
104789,0020131NRK,DB75B0D614,98,SGD,0,6/15/2014,1/15/2015,1,,,1,8/30/2014,Actual exp is 15 Dec 2014,
